District,Year,Rainfall
BAGALKOT,1998,595.1
BAGALKOT,1999,778.3
BAGALKOT,2000,747.4
BAGALKOT,2001,572.3
BAGALKOT,2002,708.4
BAGALKOT,2003,473.5
BAGALKOT,2004,552.4
BAGALKOT,2005,1093.7
BAGALKOT,2006,578.6
BAGALKOT,2007,722.1
BAGALKOT,2008,620.4
BAGALKOT,2009,824.8
BAGALKOT,2010,691.6
BAGALKOT,2011,913.5
BAGALKOT,2012,585.7
BAGALKOT,2013,620.4
BAGALKOT,2014,824.8
BANGALORE RURAL,1997,741.3
BANGALORE RURAL,1998,808.6
BANGALORE RURAL,1999,808.3
BANGALORE RURAL,2000,890.8
BANGALORE RURAL,2001,632.8
BANGALORE RURAL,2002,491
BANGALORE RURAL,2003,559.1
BANGALORE RURAL,2004,621.8
BANGALORE RURAL,2005,954
BANGALORE RURAL,2006,573.3
BANGALORE RURAL,2007,863.7
BANGALORE RURAL,2008,731.7
BANGALORE RURAL,2009,824
BANGALORE RURAL,2010,743.5
BANGALORE RURAL,2011,657.9
BANGALORE RURAL,2012,544.6
BANGALORE RURAL,2013,754.6
BANGALORE RURAL,2014,840.7
BELGAUM,1997,725.1
BELGAUM,1998,691.6
BELGAUM,1999,470.4
BELGAUM,2000,541.2
BELGAUM,2001,495.5
BELGAUM,2002,351.5
BELGAUM,2003,354.8
BELGAUM,2004,400.7
BELGAUM,2005,604.7
BELGAUM,2006,383.4
BELGAUM,2007,506.4
BELGAUM,2008,434.9
BELGAUM,2009,654.7
BELGAUM,2010,602.3
BELGAUM,2011,445.2
BELGAUM,2012,384.4
BELGAUM,2013,536.6
BELGAUM,2014,512.4
BELLARY,1997,725.1
BELLARY,1998,691.6
BELLARY,1999,470.4
BELLARY,2000,541.2
BELLARY,2001,495.5
BELLARY,2002,351.5
BELLARY,2003,354.8
BELLARY,2004,400.7
BELLARY,2005,604.7
BELLARY,2006,383.4
BELLARY,2007,506.4
BELLARY,2008,434.9
BELLARY,2009,654.7
BELLARY,2010,602.3
BELLARY,2011,445.2
BELLARY,2012,384.4
BELLARY,2013,536.6
BELLARY,2014,512.4
BENGALURU URBAN,1997,741.3
BENGALURU URBAN,1998,808.6
BENGALURU URBAN,1999,808.3
BENGALURU URBAN,2000,890.8
BENGALURU URBAN,2001,632.8
BENGALURU URBAN,2002,491
BENGALURU URBAN,2003,559.1
BENGALURU URBAN,2004,621.8
BENGALURU URBAN,2005,954
BENGALURU URBAN,2006,573.3
BENGALURU URBAN,2007,863.7
BENGALURU URBAN,2008,731.7
BENGALURU URBAN,2009,824
BENGALURU URBAN,2010,743.5
BENGALURU URBAN,2011,657.9
BENGALURU URBAN,2012,544.6
BENGALURU URBAN,2013,754.6
BENGALURU URBAN,2014,840.7
BIDAR,1997,725.1
BIDAR,1998,691.6
BIDAR,1999,470.4
BIDAR,2000,541.2
BIDAR,2001,495.5
BIDAR,2002,351.5
BIDAR,2003,354.8
BIDAR,2004,400.7
BIDAR,2005,604.7
BIDAR,2006,383.4
BIDAR,2007,506.4
BIDAR,2008,434.9
BIDAR,2009,654.7
BIDAR,2010,602.3
BIDAR,2011,445.2
BIDAR,2012,384.4
BIDAR,2013,536.6
BIDAR,2014,512.4
BIJAPUR,1997,725.1
BIJAPUR,1998,691.6
BIJAPUR,1999,470.4
BIJAPUR,2000,541.2
BIJAPUR,2001,495.5
BIJAPUR,2002,351.5
BIJAPUR,2003,354.8
BIJAPUR,2004,400.7
BIJAPUR,2005,604.7
BIJAPUR,2006,383.4
BIJAPUR,2007,506.4
BIJAPUR,2008,434.9
BIJAPUR,2009,654.7
BIJAPUR,2010,602.3
BIJAPUR,2011,445.2
BIJAPUR,2012,384.4
BIJAPUR,2013,536.6
BIJAPUR,2014,512.4
CHAMARAJANAGAR,1998,808.6
CHAMARAJANAGAR,1999,808.3
CHAMARAJANAGAR,2000,890.8
CHAMARAJANAGAR,2001,632.8
CHAMARAJANAGAR,2002,491
CHAMARAJANAGAR,2003,559.1
CHAMARAJANAGAR,2004,621.8
CHAMARAJANAGAR,2005,954
CHAMARAJANAGAR,2006,573.3
CHAMARAJANAGAR,2007,863.7
CHAMARAJANAGAR,2008,731.7
CHAMARAJANAGAR,2009,824
CHAMARAJANAGAR,2010,743.5
CHAMARAJANAGAR,2011,657.9
CHAMARAJANAGAR,2012,544.6
CHAMARAJANAGAR,2013,754.6
CHAMARAJANAGAR,2014,840.7
CHIKBALLAPUR,2007,863.7
CHIKBALLAPUR,2008,731.7
CHIKBALLAPUR,2009,824
CHIKBALLAPUR,2010,743.5
CHIKBALLAPUR,2011,657.9
CHIKBALLAPUR,2012,544.6
CHIKBALLAPUR,2013,754.6
CHIKBALLAPUR,2014,840.7
CHIKMAGALUR,1997,741.3
CHIKMAGALUR,1998,808.6
CHIKMAGALUR,1999,808.3
CHIKMAGALUR,2000,890.8
CHIKMAGALUR,2001,632.8
CHIKMAGALUR,2002,491
CHIKMAGALUR,2003,559.1
CHIKMAGALUR,2004,621.8
CHIKMAGALUR,2005,954
CHIKMAGALUR,2006,573.3
CHIKMAGALUR,2007,863.7
CHIKMAGALUR,2008,731.7
CHIKMAGALUR,2009,824
CHIKMAGALUR,2010,743.5
CHIKMAGALUR,2011,657.9
CHIKMAGALUR,2012,544.6
CHIKMAGALUR,2013,754.6
CHIKMAGALUR,2014,840.7
CHITRADURGA,1997,741.3
CHITRADURGA,1998,808.6
CHITRADURGA,1999,808.3
CHITRADURGA,2000,890.8
CHITRADURGA,2001,632.8
CHITRADURGA,2002,491
CHITRADURGA,2003,559.1
CHITRADURGA,2004,621.8
CHITRADURGA,2005,954
CHITRADURGA,2006,573.3
CHITRADURGA,2007,863.7
CHITRADURGA,2008,731.7
CHITRADURGA,2009,824
CHITRADURGA,2010,743.5
CHITRADURGA,2011,657.9
CHITRADURGA,2012,544.6
CHITRADURGA,2013,754.6
CHITRADURGA,2014,840.7
DAKSHIN KANNAD,1997,2905.7
DAKSHIN KANNAD,1998,2569.7
DAKSHIN KANNAD,1999,2569
DAKSHIN KANNAD,2000,2111.2
DAKSHIN KANNAD,2001,1902.8
DAKSHIN KANNAD,2002,1800.5
DAKSHIN KANNAD,2003,2027.8
DAKSHIN KANNAD,2004,1851.7
DAKSHIN KANNAD,2005,2504.2
DAKSHIN KANNAD,2006,2572.5
DAKSHIN KANNAD,2007,2768.1
DAKSHIN KANNAD,2008,2049
DAKSHIN KANNAD,2009,3083.1
DAKSHIN KANNAD,2010,2600.8
DAKSHIN KANNAD,2011,2665.8
DAKSHIN KANNAD,2012,1515.3
DAKSHIN KANNAD,2013,2839.7
DAKSHIN KANNAD,2014,2882.1
DAVANGERE,1998,808.6
DAVANGERE,1999,808.3
DAVANGERE,2000,890.8
DAVANGERE,2001,632.8
DAVANGERE,2002,491
DAVANGERE,2003,559.1
DAVANGERE,2004,621.8
DAVANGERE,2005,954
DAVANGERE,2006,573.3
DAVANGERE,2007,863.7
DAVANGERE,2008,731.7
DAVANGERE,2009,824
DAVANGERE,2010,743.5
DAVANGERE,2011,657.9
DAVANGERE,2012,544.6
DAVANGERE,2013,754.6
DAVANGERE,2014,840.7
DHARWAD,1997,725.1
DHARWAD,1998,691.6
DHARWAD,1999,470.4
DHARWAD,2000,541.2
DHARWAD,2001,495.5
DHARWAD,2002,351.5
DHARWAD,2003,354.8
DHARWAD,2004,400.7
DHARWAD,2005,604.7
DHARWAD,2006,383.4
DHARWAD,2007,506.4
DHARWAD,2008,434.9
DHARWAD,2009,654.7
DHARWAD,2010,602.3
DHARWAD,2011,445.2
DHARWAD,2012,384.4
DHARWAD,2013,536.6
DHARWAD,2014,512.4
GADAG,1998,879.2
GADAG,1999,96
GADAG,2000,17
GADAG,2001,0
GADAG,2002,990.5
GADAG,2003,992.8
GADAG,2004,1030.5
GADAG,2005,786.3
GADAG,2006,761.2
GADAG,2007,1020.1
GADAG,2008,1243.7
GADAG,2009,1030.5
GADAG,2010,1180
GADAG,2011,1111.2
GADAG,2012,733.3
GADAG,2013,735.2
GADAG,2014,746.7
GULBARGA,1997,725.1
GULBARGA,1998,691.6
GULBARGA,1999,470.4
GULBARGA,2000,541.2
GULBARGA,2001,495.5
GULBARGA,2002,351.5
GULBARGA,2003,354.8
GULBARGA,2004,400.7
GULBARGA,2005,604.7
GULBARGA,2006,383.4
GULBARGA,2007,506.4
GULBARGA,2008,434.9
GULBARGA,2009,654.7
GULBARGA,2010,602.3
GULBARGA,2011,445.2
GULBARGA,2012,384.4
GULBARGA,2013,536.6
GULBARGA,2014,512.4
HASSAN,1997,741.3
HASSAN,1998,808.6
HASSAN,1999,808.3
HASSAN,2000,890.8
HASSAN,2001,632.8
HASSAN,2002,491
HASSAN,2003,559.1
HASSAN,2004,621.8
HASSAN,2005,954
HASSAN,2006,573.3
HASSAN,2007,863.7
HASSAN,2008,731.7
HASSAN,2009,824
HASSAN,2010,743.5
HASSAN,2011,657.9
HASSAN,2012,544.6
HASSAN,2013,754.6
HASSAN,2014,840.7
HAVERI,1998,1178
HAVERI,1999,12
HAVERI,2000,5
HAVERI,2001,710
HAVERI,2002,476
HAVERI,2003,482
HAVERI,2004,62
HAVERI,2005,0
HAVERI,2006,710
HAVERI,2007,63
HAVERI,2008,65
HAVERI,2009,2
HAVERI,2010,0
HAVERI,2011,62
HAVERI,2012,380
HAVERI,2013,12
HAVERI,2014,16
KODAGU,1997,741.3
KODAGU,1998,808.6
KODAGU,1999,808.3
KODAGU,2000,890.8
KODAGU,2001,632.8
KODAGU,2002,491
KODAGU,2003,559.1
KODAGU,2004,621.8
KODAGU,2005,954
KODAGU,2006,573.3
KODAGU,2007,863.7
KODAGU,2008,731.7
KODAGU,2009,824
KODAGU,2010,743.5
KODAGU,2011,657.9
KODAGU,2012,544.6
KODAGU,2013,754.6
KODAGU,2014,840.7
KOLAR,1997,741.3
KOLAR,1998,808.6
KOLAR,1999,808.3
KOLAR,2000,890.8
KOLAR,2001,632.8
KOLAR,2002,491
KOLAR,2003,559.1
KOLAR,2004,621.8
KOLAR,2005,954
KOLAR,2006,573.3
KOLAR,2007,863.7
KOLAR,2008,731.7
KOLAR,2009,824
KOLAR,2010,743.5
KOLAR,2011,657.9
KOLAR,2012,544.6
KOLAR,2013,754.6
KOLAR,2014,840.7
KOPPAL,1998,837.8
KOPPAL,1999,712.4
KOPPAL,2000,591.2
KOPPAL,2001,817.3
KOPPAL,2002,551.9
KOPPAL,2003,729.1
KOPPAL,2004,1020.1
KOPPAL,2005,1270.1
KOPPAL,2006,510
KOPPAL,2007,628.5
KOPPAL,2008,1095.6
KOPPAL,2009,598
KOPPAL,2010,561.3
KOPPAL,2011,506.2
KOPPAL,2012,783.1
KOPPAL,2013,928.5
KOPPAL,2014,628.5
MANDYA,1997,741.3
MANDYA,1998,808.6
MANDYA,1999,808.3
MANDYA,2000,890.8
MANDYA,2001,632.8
MANDYA,2002,491
MANDYA,2003,559.1
MANDYA,2004,621.8
MANDYA,2005,954
MANDYA,2006,573.3
MANDYA,2007,863.7
MANDYA,2008,731.7
MANDYA,2009,824
MANDYA,2010,743.5
MANDYA,2011,657.9
MANDYA,2012,544.6
MANDYA,2013,754.6
MANDYA,2014,840.7
MYSORE,1997,741.3
MYSORE,1998,808.6
MYSORE,1999,808.3
MYSORE,2000,890.8
MYSORE,2001,632.8
MYSORE,2002,491
MYSORE,2003,559.1
MYSORE,2004,621.8
MYSORE,2005,954
MYSORE,2006,573.3
MYSORE,2007,863.7
MYSORE,2008,731.7
MYSORE,2009,824
MYSORE,2010,743.5
MYSORE,2011,657.9
MYSORE,2012,544.6
MYSORE,2013,754.6
MYSORE,2014,840.7
RAICHUR,1997,725.1
RAICHUR,1998,691.6
RAICHUR,1999,470.4
RAICHUR,2000,541.2
RAICHUR,2001,495.5
RAICHUR,2002,351.5
RAICHUR,2003,354.8
RAICHUR,2004,400.7
RAICHUR,2005,604.7
RAICHUR,2006,383.4
RAICHUR,2007,506.4
RAICHUR,2008,434.9
RAICHUR,2009,654.7
RAICHUR,2010,602.3
RAICHUR,2011,445.2
RAICHUR,2012,384.4
RAICHUR,2013,536.6
RAICHUR,2014,512.4
RAMANAGARA,2007,863.7
RAMANAGARA,2008,731.7
RAMANAGARA,2009,824
RAMANAGARA,2010,743.5
RAMANAGARA,2011,657.9
RAMANAGARA,2012,544.6
RAMANAGARA,2013,754.6
RAMANAGARA,2014,840.7
SHIMOGA,1997,741.3
SHIMOGA,1998,808.6
SHIMOGA,1999,808.3
SHIMOGA,2000,890.8
SHIMOGA,2001,632.8
SHIMOGA,2002,491
SHIMOGA,2003,559.1
SHIMOGA,2004,621.8
SHIMOGA,2005,954
SHIMOGA,2006,573.3
SHIMOGA,2007,863.7
SHIMOGA,2008,731.7
SHIMOGA,2009,824
SHIMOGA,2010,743.5
SHIMOGA,2011,657.9
SHIMOGA,2012,544.6
SHIMOGA,2013,754.6
SHIMOGA,2014,840.7
TUMKUR,1997,741.3
TUMKUR,1998,808.6
TUMKUR,1999,808.3
TUMKUR,2000,890.8
TUMKUR,2001,632.8
TUMKUR,2002,491
TUMKUR,2003,559.1
TUMKUR,2004,621.8
TUMKUR,2005,954
TUMKUR,2006,573.3
TUMKUR,2007,863.7
TUMKUR,2008,731.7
TUMKUR,2009,824
TUMKUR,2010,743.5
TUMKUR,2011,657.9
TUMKUR,2012,544.6
TUMKUR,2013,754.6
TUMKUR,2014,840.7
UDUPI,1998,2569.7
UDUPI,1999,2569
UDUPI,2000,2111.2
UDUPI,2001,1902.8
UDUPI,2002,1800.5
UDUPI,2003,2027.8
UDUPI,2004,1851.7
UDUPI,2005,2504.2
UDUPI,2006,2572.5
UDUPI,2007,2768.1
UDUPI,2008,2049
UDUPI,2009,3083.1
UDUPI,2010,2600.8
UDUPI,2011,2665.8
UDUPI,2012,1515.3
UDUPI,2013,2839.7
UDUPI,2014,2882.1
UTTAR KANNAD,1997,2905.7
UTTAR KANNAD,1998,2569.7
UTTAR KANNAD,1999,2569
UTTAR KANNAD,2000,2111.2
UTTAR KANNAD,2001,1902.8
UTTAR KANNAD,2002,1800.5
UTTAR KANNAD,2003,2027.8
UTTAR KANNAD,2004,1851.7
UTTAR KANNAD,2005,2504.2
UTTAR KANNAD,2006,2572.5
UTTAR KANNAD,2007,2768.1
UTTAR KANNAD,2008,2049
UTTAR KANNAD,2009,3083.1
UTTAR KANNAD,2010,2600.8
UTTAR KANNAD,2011,2665.8
UTTAR KANNAD,2012,1515.3
UTTAR KANNAD,2013,2839.7
UTTAR KANNAD,2014,2882.1
YADGIR,2010,719.2
YADGIR,2011,719
YADGIR,2012,591.2
YADGIR,2013,877.3
YADGIR,2014,642.6
